Product_Name,Rating,Rating_Count,Selling_Price,Discount,Product_Link
"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Charging Dual Pairing Wireless Earbuds Bluetooth",3.7,17411,2999,,https://www.flipkart.com/caidea-tw500-tube-upto-50h-playtime-enc-fast-charging-dual-pairing-wireless-earbuds-bluetooth/p/itm556bd40f8886a?pid=ACCHEJXCXZ4PEWPW&lid=LSTACCHEJXCXZ4PEWPWLOKAXF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciHhELmTo77ptA_8-05zqTTVHEH8sAasjPvtF59HyFReRg%3D%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Quad Mic ENC, 40 Hr, v5.3 Bluetooth",4,88956,3999,,https://www.flipkart.com/triggr-kraken-x1-battery-display-40ms-latency-quad-mic-enc-40-hr-v5-3-bluetooth/p/itm9c05f498c3463?pid=ACCGQ2SND4UPDYAF&lid=LSTACCGQ2SND4UPDYAF4AJWHE&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciGIFYoAQntpsNy_WP9lVtT-jAohTwIGJxmYD4CGn9jQFHbokvd1CzEZnIJbyf1TmFY%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"BeastBass CMT Buds 2 ENC, Ultra Bass Technology 2.0, 55 Hrs playtime 5.3 Bluetooth Bluetooth",4,683,2899,,https://www.flipkart.com/beastbass-cmt-buds-2-enc-ultra-bass-technology-2-0-55-hrs-playtime-5-3-bluetooth/p/itmc72719e32c77a?pid=ACCHGP5F34UWCZUZ&lid=LSTACCHGP5F34UWCZUZBUZLZW&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHGP5F34UWCZUZ.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
TECHFIRE Bullets 360 TWS Earbuds with 100 HRS Playtime Bluetooth,3.4,66399,1999,,https://www.flipkart.com/techfire-bullets-360-tws-earbuds-100-hrs-playtime-bluetooth/p/itmb94383018b237?pid=ACCH375MGNFAVJ4G&lid=LSTACCH375MGNFAVJ4GAKH40Y&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCH375MGNFAVJ4G.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"Highnotes Airdoze Quad Mic Auto ENC, 13mm Drivers, 120Hr Backup, Made in India, 5.3v Bluetooth",3.8,5925,3499,,https://www.flipkart.com/highnotes-airdoze-quad-mic-auto-enc-13mm-drivers-120hr-backup-made-india-5-3v-bluetooth/p/itm8c50f9e81818a?pid=ACCH4YXYXFNB3CBE&lid=LSTACCH4YXYXFNB3CBEDINRGL&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCH4YXYXFNB3CBE.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC for HD Call, Fast Charging, 5.3 Bluetooth",4.1,46801,2999,,https://www.flipkart.com/mivi-duopods-b1-just-launched-45hrs-playtime-ai-enc-hd-call-fast-charging-5-3-bluetooth/p/itmb88189abeb525?pid=ACCH8Z35ZAJSR9CU&lid=LSTACCH8Z35ZAJSR9CUDDHQNH&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciHgCgK6AgdhNAaalqHoxBZ0n20JD6w3Jgik8J_7Q7mE8o06z3QAm4-AoFL_C4Jep-g%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
TECHBROS New Edition TWS M19 PRO with Power Bank Upto 48HR Playback Bluetooth Headset F10 Bluetooth,3.7,1396,1999,,https://www.flipkart.com/techbros-new-tws-m19-pro-power-bank-upto-48hr-playback-bluetooth-headset-f10/p/itm49dddcdb03ce6?pid=ACCHFYFRBM3KGZVR&lid=LSTACCHFYFRBM3KGZVRVQXQMO&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHFYFRBM3KGZVR.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
Chaebol TWS Earbuds supports ENC mode fits comfortably Clear sound and solid mic quality Bluetooth Gaming,,,2499,,https://www.flipkart.com/chaebol-tws-earbuds-supports-enc-mode-fits-comfortably-clear-sound-solid-mic-quality-bluetooth-gaming/p/itm4409443be5468?pid=ACCHGGV4YMHWAYFE&lid=LSTACCHGGV4YMHWAYFE34931Q&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHGGV4YMHWAYFE.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
BULLSTORM BS ultrapood Bluetooth Gaming,3.4,30349,2699,,https://www.flipkart.com/bullstorm-bs-ultrapood-bluetooth-gaming/p/itm58a679ce7e4ca?pid=ACCHBRYWFRZGDNDA&lid=LSTACCHBRYWFRZGDNDA24TLLY&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHBRYWFRZGDNDA.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm Dynamic Drivers,Bluetooth V5.3 Bluetooth",4.1,19944,2899,,https://www.flipkart.com/ptron-bassbuds-vibe-w-34-hrs-playback-clear-calls-13mm-dynamic-drivers-bluetooth-v5-3-bluetooth/p/itm532abcae38b60?pid=ACCH2PKWC5QFHYTT&lid=LSTACCH2PKWC5QFHYTTSSH9KL&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCH2PKWC5QFHYTT.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency Fast Charging RGB Gaming TWS Bluetooth Gaming,3.8,38093,2999,,https://www.flipkart.com/aroma-nb126-aster-v5-4-upto-50hr-playtime-45ms-latency-fast-charging-rgb-gaming-tws-bluetooth/p/itma011fff06aff8?pid=ACCH93WDDZU2Z5YG&lid=LSTACCH93WDDZU2Z5YGQTQ3XY&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciHOKWZEIlQDo5Yo6gCFGzp4w95Q6UooToGBVZ7PjFEG9fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast Charging Dual Pairing Earbuds Bluetooth,3.5,1072,1299,,https://www.flipkart.com/caidea-tw121-pro-pods-upto-40-hrs-playtime-type-c-fast-charging-dual-pairing-earbuds-bluetooth/p/itm4dc2d315fe36b?pid=ACCHHRUZKUFRR6VZ&lid=LSTACCHHRUZKUFRR6VZSE9U5R&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciEF-Y6EIs8hcZx6M8Yi3bCI8iGslkmjcc2maQy-XLCO3fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
TECHIO Black Earbuds | True Wireless Stereo | Noise Cancelling Bluetooth,3.6,11839,1799,,https://www.flipkart.com/techio-black-earbuds-true-wireless-stereo-noise-cancelling-bluetooth/p/itm0276b3ead64b1?pid=ACCHB7E3HF9YTZZC&lid=LSTACCHB7E3HF9YTZZCCUEWNA&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHB7E3HF9YTZZC.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"Shivay Enterprises NEW ANC TWS, Ear buds with 48HRS Battery, Fast Charge, Blutooth & Mic.A1_164 Bluetooth",,,1999,,https://www.flipkart.com/shivay-enterprises-new-anc-tws-ear-buds-48hrs-battery-fast-charge-blutooth-mic-a1-164-bluetooth/p/itmd0a0b256a1067?pid=ACCHGNVY8KU8VH4C&lid=LSTACCHGNVY8KU8VH4CXZLG0M&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHGNVY8KU8VH4C.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stream Ad Free Music via App Bluetooth",4,723936,3490,,https://www.flipkart.com/boat-airdopes-alpha-35h-battery-13mm-drivers-enx-stream-ad-free-music-via-app-bluetooth/p/itm1181f915b81ec?pid=ACCGP2HJA3HKHTF4&lid=LSTACCGP2HJA3HKHTF4VDDILL&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&spotlightTagId=default_BestsellerId_0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCGP2HJA3HKHTF4.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"GOBOULT K10 50H Battery Life, 4 Mic ENC, Low Latency, Dual Master, 5.4v Bluetooth",4,37564,2499,,https://www.flipkart.com/goboult-k10-50h-battery-life-4-mic-enc-low-latency-dual-master-5-4v-bluetooth/p/itmd7410b6505082?pid=ACCH45TJJYAGYAHE&lid=LSTACCH45TJJYAGYAHEDFJXWJ&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCH45TJJYAGYAHE.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC for HD Call, Fast Charging, 5.3 Bluetooth",4.1,46801,2999,,https://www.flipkart.com/mivi-duopods-b1-just-launched-45hrs-playtime-ai-enc-hd-call-fast-charging-5-3-bluetooth/p/itmd17c557409f91?pid=ACCH8Z35P6ZFJBXN&lid=LSTACCH8Z35P6ZFJBXNPAFYMZ&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciEQpq80oUrI1NjGaMJZf79Ulh5rWv0cBcLLYnCu2W1eiwaKg8hQxVtMHqLTdaqeDbc%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Charging Dual Pairing Earbuds Bluetooth,3.5,108298,1299,,https://www.flipkart.com/aroma-nb121-pods-upto-40-hours-playtime-type-c-fast-charging-dual-pairing-earbuds-bluetooth/p/itm911b47c91c5dd?pid=ACCH77MF4NYVHZTE&lid=LSTACCH77MF4NYVHZTETGQDWP&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciHqOXIakb4jYUenFIbJk-EQeTOkW3FCajKla8kz0L_OX_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
GAGANDEEP Pro ANC Mic & Deep Bass Bluetooth,,,999,,https://www.flipkart.com/gagandeep-pro-anc-mic-deep-bass-bluetooth/p/itm918b95ac7c99f?pid=ACCHG5FYUFY6CGQS&lid=LSTACCHG5FYUFY6CGQSFQ7SZY&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHG5FYUFY6CGQS.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
allons TWS Bluetooth Earbuds True Wireless Headphone with MagSafe Charging Case A58 Bluetooth,3.8,317,1599,,https://www.flipkart.com/allons-tws-bluetooth-earbuds-true-wireless-headphone-magsafe-charging-case-a58/p/itmbfd68e7f4446b?pid=ACCHFYEJ73HY6DCC&lid=LSTACCHFYEJ73HY6DCCCGKQQY&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=fb1b86e1-0973-4d00-b0cb-899d7e8ef929.ACCHFYEJ73HY6DCC.SEARCH&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm Dynamic Drivers,Bluetooth V5.3 Bluetooth",4.1,19944,2899,,https://www.flipkart.com/ptron-bassbuds-vibe-w-34-hrs-playback-clear-calls-13mm-dynamic-drivers-bluetooth-v5-3-bluetooth/p/itmb2b88126a7b60?pid=ACCH2PKWJNWACX6F&lid=LSTACCH2PKWJNWACX6FRIBZ0A&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_WOkDIToanooDYujP8c0mUNz0c72wRrHekP1DmBKuciGltuPxk2TYabRUarGEBjcW3rcD0sE3l2Wq4RbVhsaWujaXAI15xQIPam6Hsx54Dy4%3D&ppt=hp&ppn=homepage&ssid=d8eq2wsb7k0000001769841361185&qH=2951f68ff1fee1e0&ov_redirect=true
